name,surname,fullname,sex,birth date,id,id_type
Daniele,Mandolini,Daniele Mandolini,male,1997-12-25,FL3210818G,Italian driving license card
Silvano,Moro,Silvano Moro,male,1945-11-14,GF4100118,Italian passport
Tore,Kallmyr,Tore Kallmyr,male,2001-08-13,CB2073901N,Italian driving license card
Andrea,Bianchi,Andrea Bianchi,male,1979-10-03,LW3566665,Italian passport
Angelo S.,Musto,Angelo S. Musto,male,1994-06-15,OQ1662990I,Italian driving license card
Indirpreet,Kaur,Indirpreet Kaur,female,2018-03-12,YP9583950R,Italian driving license card
Luiz,Fuganti,Luiz Fuganti,male,1981-03-07,QG1954766,Italian passport
Franco,Cicogna,Franco Cicogna,male,1965-10-01,PQ4173140,Italian passport
Sandro,Petti,Sandro Petti,male,1942-01-19,HT8968591,Italian passport
Katia,Lasi,Katia Lasi,female,1939-02-13,OP42913PC,Italian electronic identity card
Nicolo',Albano,Nicolo' Albano,male,2003-03-15,FB91346TU,Italian electronic identity card
Mirco,Menna,Mirco Menna,male,2004-09-09,CR8727320S,Italian driving license card
Aurora,Donnini,Aurora Donnini,female,2013-09-05,NC7684010O,Italian driving license card
Fausto,Moriconi,Fausto Moriconi,male,2006-05-24,EH23114OA,Italian electronic identity card
Agata,Anania,Agata Anania,female,1998-07-28,IB8442774F,Italian driving license card
Maria,Célia,Maria Célia,female,2004-04-04,QU3620515,Italian passport
Fortunato,Di Sessa,Fortunato Di Sessa,male,1948-05-27,UH40982KF,Italian electronic identity card
Lorenzo,Caso,Lorenzo Caso,male,1949-05-23,PA42744CP,Italian electronic identity card
Giulio,Arcesi,Giulio Arcesi,male,2014-09-26,RI54792CI,Italian electronic identity card
Tiziana,Maiolo,Tiziana Maiolo,female,1990-08-15,FL5845345H,Italian driving license card
Nunzia,D'Avino,Nunzia D'Avino,female,1949-09-22,FN8116627P,Italian driving license card
Giorgia,Licitra,Giorgia Licitra,female,1986-11-13,QQ99523ON,Italian electronic identity card
Livia Maria,de Melo,Livia Maria de Melo,female,1960-12-17,PS24891IN,Italian electronic identity card
Michele,Mastandrea,Michele Mastandrea,male,2000-03-29,KD80070JF,Italian electronic identity card
Miriam,Orlandi,Miriam Orlandi,female,1937-11-16,BB82648MZ,Italian electronic identity card
Angelo,Lippolis,Angelo Lippolis,male,2001-06-19,BU9531614,Italian passport
Carmine,DI Iorio,Carmine DI Iorio,male,2018-07-23,WE1961113D,Italian driving license card
Elisabetta,Matani,Elisabetta Matani,female,1964-04-20,WC3880677,Italian passport
Karina,Snihurenko,Karina Snihurenko,female,1983-12-24,VQ4520553N,Italian driving license card
Sandra,Souza,Sandra Souza,female,2009-09-29,ZW4418009,Italian passport
Rosaria,Guerrieri,Rosaria Guerrieri,female,1949-03-25,BA8104831W,Italian driving license card
Simona,Rocco,Simona Rocco,female,2017-08-31,HB4970215,Italian passport
Giuseppe,Bosco,Giuseppe Bosco,male,1935-11-24,QX2583635H,Italian driving license card
Davide,Casali,Davide Casali,male,1937-04-07,ET7466850,Italian passport
Chiara,Aimetti,Chiara Aimetti,female,2013-10-05,DC5562190,Italian passport
Filippo,Gronchi,Filippo Gronchi,male,1973-06-09,SG6669564P,Italian driving license card
Filomena,Augusta,Filomena Augusta,female,1947-03-06,LU25045XI,Italian electronic identity card
Luciana,Brizzi,Luciana Brizzi,female,2010-12-25,FM5277282W,Italian driving license card
Priscilla,Gagliardi,Priscilla Gagliardi,female,1969-01-22,MU9389056P,Italian driving license card
Francesco,Mallia,Francesco Mallia,male,1973-03-30,GU3646130,Italian passport
Claudete,Rolkouski,Claudete Rolkouski,female,1974-05-03,EU3239087,Italian passport
Aurelia,Sacco,Aurelia Sacco,female,1980-08-31,TL59149IB,Italian electronic identity card
Mario,De Salvo,Mario De Salvo,male,2019-05-24,PV49555MO,Italian electronic identity card
Jurandir,Guerreiro,Jurandir Guerreiro,male,1939-08-01,EF3191437,Italian passport
Francesca,Lobifaro,Francesca Lobifaro,female,1942-11-01,AR74178AD,Italian electronic identity card
Antonio,Laudati,Antonio Laudati,male,1937-08-26,IL8624266,Italian passport
Fernando Gabriel,Bianchi,Fernando Gabriel Bianchi,male,1954-11-21,SA2757010Y,Italian driving license card
Patrizia,Giacomo,Patrizia Giacomo,female,1945-04-01,FX8733045,Italian passport
Vittorio,Surano,Vittorio Surano,male,1932-05-23,XO81349WK,Italian electronic identity card
Ernesto,Primo,Ernesto Primo,male,2002-01-18,RW1126467E,Italian driving license card
Piacentina,Mantini,Piacentina Mantini,female,1972-04-13,VP7467479,Italian passport
Diego,Salari,Diego Salari,male,1983-06-02,SG3199153,Italian passport
Andrea,Doria,Andrea Doria,male,2009-10-03,WT9355731X,Italian driving license card
Stefano,Lentino,Stefano Lentino,male,1979-01-02,HF5626336,Italian passport
Mery,Vece,Mery Vece,female,1991-04-07,XO3164472N,Italian driving license card
Assane,Gueye,Assane Gueye,male,1963-10-25,NW26904FW,Italian electronic identity card
Manuel,Morelli,Manuel Morelli,male,1939-04-25,JT76037QE,Italian electronic identity card
Roberto,Raucci,Roberto Raucci,male,1959-12-09,TX18024QH,Italian electronic identity card
Margareth,Doranem,Margareth Doranem,female,1946-03-08,UF8977835,Italian passport
Paula,Lodato,Paula Lodato,female,1962-04-21,ME6490414L,Italian driving license card
Rafael,Soligo,Rafael Soligo,male,1972-09-16,QC76852HO,Italian electronic identity card
Claudio,Smaniotto,Claudio Smaniotto,male,1975-07-14,VJ2711197,Italian passport
Antonella,Tommasini,Antonella Tommasini,female,1956-10-06,PD4922671S,Italian driving license card
Tomomi,Saito,Tomomi Saito,female,1975-09-19,ZC9845846X,Italian driving license card
Laksiri,Basnayaka,Laksiri Basnayaka,male,2019-03-14,YK3109657I,Italian driving license card
Oreste,Arrighi,Oreste Arrighi,male,1957-04-24,JH6095612K,Italian driving license card
João,Victor,João Victor,male,2011-11-23,OE50181JA,Italian electronic identity card
Serena,Grisoni,Serena Grisoni,female,1976-01-25,NN6430181,Italian passport
Attilio,Simei,Attilio Simei,male,2007-06-27,PR1637009,Italian passport
Francesca,Lazzara,Francesca Lazzara,female,1978-12-18,AV75605CN,Italian electronic identity card
Salvatore,Parolisi,Salvatore Parolisi,male,1951-04-19,RY35330FM,Italian electronic identity card
Drigell,Hair,Drigell Hair,female,2004-03-03,ZX8190086,Italian passport
Elisa,Pellegrino,Elisa Pellegrino,female,1983-05-10,QM34290VH,Italian electronic identity card
Daniele,Esposito,Daniele Esposito,male,1940-04-25,UE6592062E,Italian driving license card
Valeria,Sica,Valeria Sica,female,1957-03-29,RP7888642,Italian passport
Michele,Speranza,Michele Speranza,male,2010-05-20,GS15217VG,Italian electronic identity card
Leonardo,Marchi,Leonardo Marchi,male,1962-11-20,UV8952038C,Italian driving license card
Maurizio,Colucci,Maurizio Colucci,male,1996-10-11,UF2728941Z,Italian driving license card
Gianni,Marroni,Gianni Marroni,male,1952-03-26,HZ6574105,Italian passport
Marilena,Napoli,Marilena Napoli,female,1964-11-24,PZ1450953X,Italian driving license card
Rajiv,Jaiswal,Rajiv Jaiswal,male,1973-05-17,OO2607826E,Italian driving license card
Roberto,Rafanelli,Roberto Rafanelli,male,1931-08-12,GO5938132K,Italian driving license card
Francesca,Gelleni,Francesca Gelleni,female,1965-07-02,JT1131974,Italian passport
Leandro,Moretti,Leandro Moretti,male,1953-10-01,VX9513187G,Italian driving license card
Stefano,Mascia,Stefano Mascia,male,1942-11-05,EL4248978U,Italian driving license card
Silvia,Pennati,Silvia Pennati,female,2000-10-02,XI67226VE,Italian electronic identity card
Beg,Figueiredo,Beg Figueiredo,male,1968-08-01,XC8842946H,Italian driving license card
Antonella,Centomani,Antonella Centomani,female,1933-12-18,BM7309381,Italian passport
Vincenzo,Sagliocco,Vincenzo Sagliocco,male,1955-10-31,DA2586115,Italian passport
Edivan,Paz,Edivan Paz,male,1934-02-09,SR8285229U,Italian driving license card
Luciano,Pali,Luciano Pali,male,1976-11-06,EC32303AA,Italian electronic identity card
Elsa,Campisi,Elsa Campisi,female,1971-04-19,UP5644631L,Italian driving license card
Monica,Monchiero,Monica Monchiero,female,2005-03-19,SB34483MA,Italian electronic identity card
Sara,Fabiani,Sara Fabiani,female,1996-06-24,WH18969VP,Italian electronic identity card
T.j.,Ireland,T.j. Ireland,male,1959-08-13,PN4237142S,Italian driving license card
Christeren,Tero,Christeren Tero,female,1991-08-23,PP8922384,Italian passport
Gianluca,D'anna,Gianluca D'anna,male,1960-06-12,QJ6824748,Italian passport
Sérgio,Vettorello,Sérgio Vettorello,male,1943-01-23,FF4300164,Italian passport
Enrico,Piscopo,Enrico Piscopo,male,1995-03-28,LO9212483,Italian passport
Emilio,Arena,Emilio Arena,male,1958-11-02,QO34768DG,Italian electronic identity card
Marcia,Falsiroli,Marcia Falsiroli,female,1978-03-02,BV8430257,Italian passport
Elisa,Concordia,Elisa Concordia,female,1940-01-06,JE6500446,Italian passport
Daniel,Compagnoni,Daniel Compagnoni,male,1973-06-03,UK7096451,Italian passport
Elisa,Tagariello,Elisa Tagariello,female,1956-10-28,YF9920127G,Italian driving license card
Francesco,Zambelli,Francesco Zambelli,male,2010-01-18,KT58286DU,Italian electronic identity card
Siria,Palombo,Siria Palombo,female,2017-08-01,BV34437LI,Italian electronic identity card
MinSeok,Kang,MinSeok Kang,male,1937-05-25,NC9053513L,Italian driving license card
Giulia,Savone,Giulia Savone,female,1977-05-20,YB11636NB,Italian electronic identity card
Antonio,Catalano,Antonio Catalano,male,1951-06-24,RM3229106B,Italian driving license card
Stefania,Corsetti,Stefania Corsetti,female,1990-09-25,KW1429968U,Italian driving license card
Paolo,D'Amata,Paolo D'Amata,male,1952-12-02,GX20014JY,Italian electronic identity card
Lina,Mazzone,Lina Mazzone,female,2017-06-06,XN84895HA,Italian electronic identity card
Salvo,Schiera,Salvo Schiera,male,1990-05-11,IM6225702N,Italian driving license card
Lorenzo,Giannoni,Lorenzo Giannoni,male,1991-01-29,XG11946XQ,Italian electronic identity card
Nayr,Camangyan,Nayr Camangyan,male,1941-07-02,BK5832466I,Italian driving license card
Rhea Mae,Lacno,Rhea Mae Lacno,female,1946-06-23,VB3858971,Italian passport
Stefano,Chiavistelli,Stefano Chiavistelli,male,1960-12-31,BF9715050,Italian passport
Claudia,Beduschi,Claudia Beduschi,female,1963-10-23,RA14978XN,Italian electronic identity card
Paolo,Serasso,Paolo Serasso,male,1966-03-31,GI5209591,Italian passport
Cíntia,Oliver,Cíntia Oliver,female,1971-08-14,HM39153YB,Italian electronic identity card
Lulmira,Mehmedi,Lulmira Mehmedi,female,1934-07-15,XO5267329,Italian passport
Riteek,Vaghari,Riteek Vaghari,male,1993-07-05,XD5369419T,Italian driving license card
Antonella,Peluso,Antonella Peluso,female,1961-12-17,TI5471271R,Italian driving license card
Andrea,Filice,Andrea Filice,male,1963-05-26,YB3632297M,Italian driving license card
Angie,Intong,Angie Intong,female,2011-07-31,LO3535312,Italian passport
Marchesini,Michele,Marchesini Michele,male,1973-11-28,MB7904150H,Italian driving license card
Anna,Notariale,Anna Notariale,female,1955-08-18,AA9391871E,Italian driving license card
Andrea,Randazzo,Andrea Randazzo,male,1963-09-02,ZE4518869T,Italian driving license card
Enzo,Vivaldi,Enzo Vivaldi,male,1960-07-09,NW14023FF,Italian electronic identity card
Fabio,Pasquali,Fabio Pasquali,male,1935-02-28,GQ18755GW,Italian electronic identity card
Giustino,Graziosi,Giustino Graziosi,male,2001-05-20,SM3113470I,Italian driving license card
Moira,Pasini,Moira Pasini,female,2004-04-15,YN4918989E,Italian driving license card
Elle,Vilar,Elle Vilar,female,2017-06-03,CE26635VP,Italian electronic identity card
Alessia,Maselli,Alessia Maselli,female,2017-12-02,XS74583NQ,Italian electronic identity card
Flavio Martinho Dos Santos,Martinho,Flavio Martinho Dos Santos Martinho,male,1962-10-23,QD8923935V,Italian driving license card
Tiziana,Mazzarella,Tiziana Mazzarella,female,2003-03-11,XJ6226642Y,Italian driving license card
Salvatore,Bongiovanni,Salvatore Bongiovanni,male,1949-04-25,PN4598086,Italian passport
Ernesto,Robbiano,Ernesto Robbiano,male,1966-01-06,IG7796766A,Italian driving license card
Selvator,Markaj,Selvator Markaj,male,1993-12-06,UE61136ZH,Italian electronic identity card
Alberto,Barbieri,Alberto Barbieri,male,1983-06-02,UJ5446543P,Italian driving license card
Roberto,Catricala,Roberto Catricala,male,2004-03-01,GJ63435DD,Italian electronic identity card
Riccardo,Petrucci,Riccardo Petrucci,male,1994-04-03,AK84986KI,Italian electronic identity card
Pitturazioni,Edili,Pitturazioni Edili,male,1977-11-18,HT1273279,Italian passport
Batilde,Bacci,Batilde Bacci,female,1984-11-23,XA5603478Y,Italian driving license card
Mausica,Piacentini,Mausica Piacentini,female,2016-06-29,WV4944220F,Italian driving license card
Gennaro,Grieco,Gennaro Grieco,male,1945-01-02,XW5066629R,Italian driving license card
Franco,Galluccio,Franco Galluccio,male,1935-05-23,HJ11608BR,Italian electronic identity card
Giovanni,Arangio,Giovanni Arangio,female,1940-02-21,UL2579707E,Italian driving license card
Andrea,Domicolo,Andrea Domicolo,male,2007-06-10,TC1406532S,Italian driving license card
Anna,Maestri,Anna Maestri,female,1938-03-15,HW6680572,Italian passport
Marcos,Comunian,Marcos Comunian,male,2019-09-15,QQ3265070U,Italian driving license card
Concetta,Nardi,Concetta Nardi,female,1946-09-24,NS7622918G,Italian driving license card
Maya,Rubegni,Maya Rubegni,female,1965-05-31,AW2066533F,Italian driving license card
Damiano,Macaluso,Damiano Macaluso,male,1968-11-17,SD6430923F,Italian driving license card
Renzo,Nicolini,Renzo Nicolini,male,1947-12-16,ZG9878598M,Italian driving license card
Teresa,De Vita,Teresa De Vita,female,1956-05-31,ZI5543249P,Italian driving license card
Sara,De Nicola,Sara De Nicola,female,1976-07-03,DY4055419E,Italian driving license card
Eugenio,Piazza,Eugenio Piazza,male,1998-01-15,HP2536062,Italian passport
Ernesto,Marchello,Ernesto Marchello,male,1960-05-19,QK42906UK,Italian electronic identity card
Riccardo,Petrucci,Riccardo Petrucci,male,1988-07-13,QU7322223O,Italian driving license card
Giuseppe,Di Nardo,Giuseppe Di Nardo,male,1987-01-21,CF6330995,Italian passport
Grazia,Giannuzzi,Grazia Giannuzzi,female,1958-01-13,UY91744QL,Italian electronic identity card
Giuseppe,La Terra,Giuseppe La Terra,male,1953-02-16,RM2453734,Italian passport
Luciano,Pollio,Luciano Pollio,male,1943-04-10,JI2563108,Italian passport
Luciano,Pollio,Luciano Pollio,male,1993-03-28,UE39577WJ,Italian electronic identity card
Pino Giuseppe,Sabatini,Pino Giuseppe Sabatini,male,1978-05-02,TP5850642,Italian passport
Giovanni,Di Falco,Giovanni Di Falco,male,1986-06-11,JT7469502,Italian passport
Valter,Perelli,Valter Perelli,male,1934-09-03,FS7651303,Italian passport
Renato,Moretti,Renato Moretti,male,1991-05-26,CP42379FL,Italian electronic identity card
Santina,Miola,Santina Miola,female,1968-05-20,PB4462139M,Italian driving license card
Pina,Genco,Pina Genco,female,2006-10-08,OP4936528X,Italian driving license card
Tito,Marini,Tito Marini,male,1936-10-02,DZ9761326,Italian passport
Marcello,Lama,Marcello Lama,male,1937-04-21,LR6915593J,Italian driving license card
Anna,Romagnoli,Anna Romagnoli,female,2011-04-28,AO1187618,Italian passport
Clfparts,Clfparts,Clfparts Clfparts,male,1946-11-30,QW8372441,Italian passport
Carlo,Bruno,Carlo Bruno,male,1946-05-05,ST7013627,Italian passport
Loris,Donini,Loris Donini,male,1941-09-13,PU97940BV,Italian electronic identity card
Luciano,Trapani,Luciano Trapani,male,2019-04-08,ZL57087UX,Italian electronic identity card
Concetta,Leone,Concetta Leone,female,1998-08-19,SN9824660,Italian passport
Roberto,Regnoli,Roberto Regnoli,male,2002-11-09,UT1545090,Italian passport
Gabriela,Penca,Gabriela Penca,female,1938-10-03,DW98888AI,Italian electronic identity card
Vito,Sciacovelli,Vito Sciacovelli,male,1935-11-23,TA9654473,Italian passport
Vitaliano,Morabito,Vitaliano Morabito,male,1942-07-22,YD61921NP,Italian electronic identity card
Camillo,Milano,Camillo Milano,male,2000-08-17,AH3591601F,Italian driving license card
Giorgio,Bottazzi,Giorgio Bottazzi,male,2013-06-29,KG26117ZF,Italian electronic identity card
Alfredo,Carello,Alfredo Carello,male,2001-07-31,UY10157JA,Italian electronic identity card
Luca,Talenti,Luca Talenti,male,1995-07-05,YL19123QI,Italian electronic identity card
Antonino,Marcello,Antonino Marcello,male,1952-11-08,CV1028312O,Italian driving license card
Alacazam,Alacazam,Alacazam Alacazam,male,1945-08-11,MK93511PS,Italian electronic identity card
Vinny,Sciortino,Vinny Sciortino,male,1967-01-11,VG1849754M,Italian driving license card
Maria Grazia,Chiappini,Maria Grazia Chiappini,female,2002-06-19,NC6811766,Italian passport
Marco,Beraghi,Marco Beraghi,male,1990-05-08,TZ13836AP,Italian electronic identity card
Massimo,Arsura,Massimo Arsura,male,2003-11-13,RZ88293LT,Italian electronic identity card
Fabrizio,Zucca,Fabrizio Zucca,male,1952-01-14,LY16258MI,Italian electronic identity card
Walter,Uccello,Walter Uccello,male,1994-10-14,SM5894359F,Italian driving license card
Mauro,Rossi,Mauro Rossi,male,1953-01-25,NJ8122510,Italian passport
Antonio,De Giacomo,Antonio De Giacomo,male,1995-08-22,HR34026FH,Italian electronic identity card
Michele,Dasi,Michele Dasi,male,1954-07-27,FP1190815,Italian passport
Andrea,La Torre,Andrea La Torre,male,1965-05-03,WN6058752T,Italian driving license card
Marcello,Valentini,Marcello Valentini,male,1948-05-10,JT27581DR,Italian electronic identity card
Rino,Concettini,Rino Concettini,male,2002-02-28,NS3228047,Italian passport
Luciano,Asborno,Luciano Asborno,male,2011-08-22,PE9931264V,Italian driving license card
Pierguido,Ravera,Pierguido Ravera,male,1964-12-06,BC35292IO,Italian electronic identity card
Marcello,Colasurdo,Marcello Colasurdo,male,1941-07-11,OC28685BF,Italian electronic identity card
Barbara,Baglioni,Barbara Baglioni,female,1958-01-09,OY6221617D,Italian driving license card
Maurizio,Tardonato,Maurizio Tardonato,male,1948-11-19,EG4361710F,Italian driving license card
Gilberto,Mogetta,Gilberto Mogetta,male,2009-08-07,XY6727965,Italian passport
Simone,Artico,Simone Artico,male,1995-01-24,KM3878544F,Italian driving license card
Dav,Beck,Dav Beck,male,2015-06-08,PJ5692135V,Italian driving license card
Pino,Boveri,Pino Boveri,male,2001-01-18,XR5361075,Italian passport
Loretta,Vergano,Loretta Vergano,female,1983-11-04,HA3399914D,Italian driving license card
Stefania,Zanuttigh,Stefania Zanuttigh,female,1968-03-14,QB6289916,Italian passport
Marco,Valentini,Marco Valentini,male,1984-06-09,JA5477560,Italian passport
Graziella,Martorano,Graziella Martorano,female,1948-08-17,PM3191810,Italian passport
Moreto,Zeqiri,Moreto Zeqiri,male,2009-12-28,DL6531187C,Italian driving license card
Mary,Troiano,Mary Troiano,female,2011-10-11,HP46257CV,Italian electronic identity card
Domenico,Sergi,Domenico Sergi,male,1975-08-05,SU9884685,Italian passport
Fabio,Liguori,Fabio Liguori,male,2003-03-06,NV9125328Y,Italian driving license card
Franco,Lai,Franco Lai,male,1972-10-23,YA46117HX,Italian electronic identity card
Lino,Guerra,Lino Guerra,male,1940-04-19,BZ1497506,Italian passport
Ciccio,Pisani,Ciccio Pisani,male,1961-05-10,OL7284924J,Italian driving license card
Tina,Sartori,Tina Sartori,female,2014-09-26,GK2213288K,Italian driving license card
Zito,Roberto,Zito Roberto,male,1994-08-17,PG7231966,Italian passport
Gianfranco,Pagotto,Gianfranco Pagotto,male,2006-11-21,DP13680MF,Italian electronic identity card
Giancarlo,Corsi,Giancarlo Corsi,male,1969-12-26,WZ6776127,Italian passport
Franca,Gasso,Franca Gasso,female,2020-11-01,CL84518MB,Italian electronic identity card
Eyes,Ice,Eyes Ice,female,1941-02-15,BD6808447,Italian passport
Pili,Cinzia,Pili Cinzia,female,2013-11-15,RN31201TJ,Italian electronic identity card
Nicoletta,Donadio,Nicoletta Donadio,female,1968-03-09,ZL1864602,Italian passport
Turi,Distefano,Turi Distefano,male,1988-10-16,SG13875PE,Italian electronic identity card
Giancarlo,Grosso,Giancarlo Grosso,male,2016-02-20,BY28041WH,Italian electronic identity card
Daniele,De Luca,Daniele De Luca,male,1980-05-10,XD3171860,Italian passport
Rosanna,Giada,Rosanna Giada,female,1931-09-11,XW1249205,Italian passport
Luigino,Pavanati,Luigino Pavanati,male,1972-06-25,EB1789495G,Italian driving license card
Tamara,Florean,Tamara Florean,female,1942-11-10,YM6315438,Italian passport
Roberto,Amisano,Roberto Amisano,male,1930-07-12,BZ8543391H,Italian driving license card
Luca,Piazzi,Luca Piazzi,male,1975-11-27,RJ99710ZG,Italian electronic identity card
Marino,Spina,Marino Spina,male,1940-01-22,WF4763771,Italian passport
Massimo,Cheli,Massimo Cheli,male,2002-04-07,DT8933137,Italian passport
Samuela,Argentero,Samuela Argentero,female,1942-04-19,RN3390967I,Italian driving license card
Sergio,Cortese,Sergio Cortese,male,1934-06-05,OX2214364U,Italian driving license card
Paolo,Ruta,Paolo Ruta,male,1958-08-29,TK1707725G,Italian driving license card
Franca,Lucchi,Franca Lucchi,female,1975-05-14,OD8426949C,Italian driving license card
Michele,Gallaccio,Michele Gallaccio,male,2007-07-25,SN6972203I,Italian driving license card
Marcello,Cataldi,Marcello Cataldi,male,1940-07-09,UT7391146C,Italian driving license card
Ciro,Fusco,Ciro Fusco,male,2019-04-06,OG3634790,Italian passport
Dimarco,Juan,Dimarco Juan,male,1943-12-14,FN5432453,Italian passport
Giuseppe,Mesiani Mazzacuva,Giuseppe Mesiani Mazzacuva,male,1963-03-16,VO5869334,Italian passport
Ugo,Baldi,Ugo Baldi,male,2010-05-15,FQ32817ZX,Italian electronic identity card
Sara,Sandalo,Sara Sandalo,female,1955-08-08,HA3330746E,Italian driving license card
Giovanni,Brunetti,Giovanni Brunetti,male,1944-03-23,ET53796GQ,Italian electronic identity card
Salvatore,Milazzo,Salvatore Milazzo,male,2009-02-28,CU8049311,Italian passport
Bruno,Scarpuzza,Bruno Scarpuzza,male,1941-07-30,ZE6199712U,Italian driving license card
Gennaro,Iorio,Gennaro Iorio,male,1977-12-16,WH75942ZG,Italian electronic identity card
Walter,Coppo,Walter Coppo,male,1955-12-09,QN4522150,Italian passport
Francesco,Pascale,Francesco Pascale,male,1979-01-13,SR1313660,Italian passport
Carla,Orfano,Carla Orfano,female,2006-01-13,LL4989553D,Italian driving license card
Cettina,Surace,Cettina Surace,female,1974-05-07,ZX54022ZH,Italian electronic identity card
Umberto,Vella,Umberto Vella,male,1967-01-06,TD6493617B,Italian driving license card
Carlo,Di Biase,Carlo Di Biase,male,1949-05-07,HB5917282,Italian passport
Dario,Pantheoncis,Dario Pantheoncis,male,1965-10-01,TZ1189961,Italian passport
Chiara,Chervino,Chiara Chervino,female,1999-02-02,HW4553002,Italian passport
Paola,Zavattaro,Paola Zavattaro,female,1978-09-12,HC69182EH,Italian electronic identity card
Adriana,Cavaliere,Adriana Cavaliere,female,1999-02-18,OT2984740J,Italian driving license card
Christian,Mieli,Christian Mieli,male,2009-10-23,QI4467019,Italian passport
Maurizio,Roy,Maurizio Roy,male,1987-04-18,VT45504BW,Italian electronic identity card
Marisa,Lavagnini,Marisa Lavagnini,female,1985-03-30,GU1305797C,Italian driving license card
Antonella,Canavese,Antonella Canavese,female,1947-02-02,ZK5147319I,Italian driving license card
Alba,Frulloni,Alba Frulloni,female,2016-05-14,YI7691229G,Italian driving license card
Mariella,Oderio,Mariella Oderio,female,1989-08-03,SH57891RA,Italian electronic identity card
Patrizia,Lambertini,Patrizia Lambertini,female,1998-11-04,NB7453526C,Italian driving license card
Martina,Carbone,Martina Carbone,female,1941-09-13,TQ8824507P,Italian driving license card
Cinzia,Macrobio,Cinzia Macrobio,female,1970-06-12,IH9161539,Italian passport
Vincenzo,Ciuti,Vincenzo Ciuti,male,2020-11-13,JB2282220M,Italian driving license card
Marco,Luksch,Marco Luksch,male,1997-10-07,JQ47731AY,Italian electronic identity card
Franca,Gencarelli,Franca Gencarelli,female,1970-01-23,VI85448SV,Italian electronic identity card
Renzo,Marcantoni,Renzo Marcantoni,male,1970-03-07,ID5986905,Italian passport
Mauro,Marchesi,Mauro Marchesi,male,1946-03-20,XC25297HF,Italian electronic identity card
Ester,Sek,Ester Sek,female,1996-07-09,IW8607551F,Italian driving license card
Silviu,Riglea,Silviu Riglea,male,1970-06-28,YB7015384,Italian passport
Trappolo,Trappolotto,Trappolo Trappolotto,male,2010-12-14,FG75802ZR,Italian electronic identity card
Angela,Morgese,Angela Morgese,female,1977-03-21,RX1583654R,Italian driving license card
Michele,D'amato,Michele D'amato,male,1965-05-30,CH1074275,Italian passport
Alfredo,Benaglio,Alfredo Benaglio,male,1995-03-30,LX16801ZT,Italian electronic identity card
Gaetano,Marcianti,Gaetano Marcianti,male,1968-10-16,IK83593NX,Italian electronic identity card
Ibrahim,Muk,Ibrahim Muk,male,1977-02-24,OI1863399,Italian passport
Laura,Bacci,Laura Bacci,female,2014-04-08,MJ8598474A,Italian driving license card
Beatrice,Spaziani,Beatrice Spaziani,female,2011-05-24,XC5201830,Italian passport
Federico,Milvio,Federico Milvio,male,2015-06-07,FD10576GO,Italian electronic identity card
Roberta,Anselmo,Roberta Anselmo,female,2002-11-22,VQ6291090T,Italian driving license card
Angelo,Sbarra,Angelo Sbarra,male,1982-08-05,FB5990210,Italian passport
Pietro,Croce,Pietro Croce,male,2017-11-01,LY55957NT,Italian electronic identity card
Marisa,Dellea,Marisa Dellea,female,1963-06-23,WF3799898G,Italian driving license card
